doc,arquivo,contexto_id,categoria,trecho,termos_vizinhos
PDI_UFABC,PDI UFABC.pdf,71,academica_formativa,"para tanto, é preciso avançar na efetivação de políticas afirmativas, garantindo auxílio econômico às e aos estudantes com vulnerabilidade econômica, e, muito além disso, promovendo ações de combate ao preconceito e à violência, num movimento de busca da cultura de paz, bem como um trabalho de informação e formação da comunidade diante das diversas possibilidades de/do ser, valorizando as peculiaridades e particularidades e trabalhando em prol do respeito às diferenças.","s, tanto, é, preciso, avançar, efetivação, políticas, afirmativas"
PDI_UFABC,PDI UFABC.pdf,72,diversidade_inclusao,"“moradia estudantil, alimentação, transporte, atenção à saúde, inclusão digital, cultura, esporte, creche, apoio pedagógico e acesso, participação e aprendizagem de estudantes com deficiência, transtornos globais do desenvolvimento e altas habilidades e superdotação”.","moradia, estudantil, alimentação, transporte, atenção, saúde, inclusão, digital"
PDI_UFABC,PDI UFABC.pdf,73,academica_formativa,"as garantias constitucionais de responsabilidade do estado brasileiro, governo e municípios deveriam estar disponíveis junto à comunidade discente com ações no que tange a atenção à saúde integral, esporte, lazer e cultura como fundamentais para a permanência qualificada de estudantes.","garantias, constitucionais, responsabilidade, estado, brasileiro, governo, municípios, deveriam"
PDI_UFABC,PDI UFABC.pdf,74,indefinido,"essas medidas são ferramentas importantes para o enfrentamento das desigualdades e promoção da cultura de um ambiente livre de assédio, garantindo a permanência simbólica em nossa universidade.","essas, medidas, são, ferramentas, importantes, enfrentamento, desigualdades, promoção"
PDI_UFABC,PDI UFABC.pdf,75,diversidade_inclusao,"apenas com o desenvolvimento de uma cultura de paz é que o ambiente estudantil se transformará de fato, com a promoção da diversidade e no enfrentamento das desigualdades e preconceitos referentes à classe, etnia, idade, religião ou quaisquer outros marcadores sociais que impliquem em segregação ou violação de direitos.","apenas, desenvolvimento, paz, é, ambiente, estudantil, transformará, fato"
PDI_UFABC,PDI UFABC.pdf,76,diversidade_inclusao,"é importante reiterar que o conceito de acessibilidade não está restrito às questões relativas às pcds e nem apenas à viabilização de rampas e ou elevadores, mas pensar na acessibilidade dos currículos, das culturas e das possibilidades de autonomia.","acessibilidade, s, é, importante, reiterar, conceito, não, está"
PDI_UFABC,PDI UFABC.pdf,77,diversidade_inclusao,"diminuir as barreiras arquitetônicas, sociais, culturais e, sobretudo, atitudinais para que possamos alcançar princípios efetivos de acessibilidade.","diminuir, barreiras, arquitetônicas, sociais, sobretudo, atitudinais, possamos, alcançar"
PDI_UFABC,PDI UFABC.pdf,78,indefinido," conceber um programa de promoção da saúde mental para estudantes, que contribua para o enfrentamento do sofrimento psíquico, potencializado por condições de permanência precárias e por uma cultura universitária ainda predominantemente eurocêntrica, ancorada em uma branquitude, e pouco amigável e acessível aos setores populares, em especial, a estudantes negras e negros, indígenas,com deficiências e transgêneras, transexuais e travestis.","estudantes, conceber, programa, promoção, saúde, mental, contribua, enfrentamento"
PDI_UFABC,PDI UFABC.pdf,79,diversidade_inclusao,"essa autonomia se materializa na existência de condições adequadas ao cumprimento da missão suficiente para a manutenção de sua infraestrutura, renovação permanente de seu parque de equipamentos didáticos e de pesquisa, realização das políticas culturais e extensionistas, inclusão e permanência estudantil.","essa, autonomia, materializa, existência, condições, adequadas, cumprimento, missão"
PDI_UFABC,PDI UFABC.pdf,80,indefinido,"além disso, promover uma cultura de compartilhamento de equipamentos e espaços, reconhecendo a tendência ao trabalho híbrido (parte presencial, parte remoto) nos próximos anos, o que permitirá racionalizar o uso de infraestrutura e também um melhor (re)dimensionamento dos espaços físicos da universidade.","espaços, parte, além, disso, promover, compartilhamento, equipamentos, reconhecendo"
